"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 07:46:38 GMT 2023","Wed Jun 14 07:46:39 GMT 2023","693","tests","test_account_login","","","","test_invalid_password","Tests correct response in case of invalid password"
"failed","Wed Jun 14 07:46:41 GMT 2023","Wed Jun 14 07:46:42 GMT 2023","642","tests","test_get_tourist_info","","","","test_get_not_existing_tourist_404_by_id","Tests correct response, 400 for non-existing tourist_id"
"passed","Wed Jun 14 07:46:40 GMT 2023","Wed Jun 14 07:46:41 GMT 2023","673","tests","test_get_tourist_info","","","","test_get_correct_tourist_by_id","Tests correct data is returned for existing tourist"
"passed","Wed Jun 14 07:46:37 GMT 2023","Wed Jun 14 07:46:37 GMT 2023","659","tests","test_account_login","","","","test_empty_login_password","Tests correct response in case of empty strings for email and password"
"passed","Wed Jun 14 07:46:39 GMT 2023","Wed Jun 14 07:46:39 GMT 2023","600","tests","test_account_login","","","","test_correct_login","Tests correct returned data on successful login"
"passed","Wed Jun 14 07:46:41 GMT 2023","Wed Jun 14 07:46:41 GMT 2023","629","tests","test_get_tourist_info","","","","test_get_not_existing_tourist_400_by_id","Tests correct response, 400 for non-existing tourist_id"
"passed","Wed Jun 14 07:46:37 GMT 2023","Wed Jun 14 07:46:38 GMT 2023","678","tests","test_account_login","","","","test_invalid_email","Tests correct response in case of invalid email"
